Cote ,Titre ,Auteur,Lieu ,Edition ,Annee ,Nb pages,Matiere,Inventaire
"""347.23:297/01",الملكية ونظرية العقد في الشريعة الإسلامية,"أبوزهرة, محمد",بيروت,دار الفكر العربي,1972.0,470,القانون المدني,7152
"""297.126/27",التناسب البياني في القرآن : دراسة في النظم المعنوي والصوتي,"أبوزيد, أحمد",الرباط,منشورات كلية الآداب والعلوم الانسانية,1992.0,398,القرآن توضيح البيان,29186
"""39/09",محاضرات في الأنثروبولوجيا الثقافية,"أبوزيد, أحمد",بيروت,دار النهضة العربية,1978.0,205,الأنثربولوجيا,15154
"""1:297/101",فلسفة التأويل: دراسة في تأويل القرآن عند محي الدين بن عربي,"أبوزيد, نصر حامد",بيروت,دار التنوير,1983.0,427,فلسفة إسلامية,13619
"""1:297/12",الإتجاه العقلي في التفسير: دراسة في قضية المجاز في القرآن عند المعتزلة,"أبوزيد, نصر حامد",بيروت,دار التنوير,1982.0,280,فلسفة إسلامية: المعتزلة,13283
"""35_297/01",نظرية الادارة في الاسلام نظرة متكاملة لمعالجة السلوك الاداري,"أبوسن, أحمد إبراهيم",عمان,المنظمة العربية للعلوم الادارية,1981.0,65,القانون الاداري,12389
"""35/47",إدارة البحث العلمي في الوطن العربي,"أبوشيخة, نادر أحمد",عمان,المنظمة العربية للعلوم الإدارية,1986.0,92,القانون الإداري,17764
"""964/152",أثر القبائل العربية في الحياة المغربية: خلال عصري الموحدين وبني مرين,"أبوضيف أحمد, مصطفى",البيضاء,دار النشر المغربية,1982.0,376,تاريخ المغرب,9532
"""637/04",كيمياء الألبان وتحليلها,"أبوغرة, صباح",دمشق,,1992.0,292,الإنتاج الحيواني,25879
"""631.4/01",أساسيات الأرضي الدزء العلمي,"أبونقطة, فلاح",دمشق,,1987.0,103,علم التربية,25851
"""582.28/01",أساسيات علم الفطريات,"أبوهيلة, عبد الله بن ناصر",الرياض,المملكة العربية السعودية,1987.0,543,الفطريات,18060
"""37/34",التربية المقارنة: التربية في الوطن العربي,"أبيض, ملكة",دمشق,منشورات جامعة دمشق,1992.0,157,التربية والتعليم,24678
"""37/65",التربية المقارنة,"أبيض, ملكة",دمشق,منشورات جامعة دمشق,1992.0,201,التربية والتعليم,24552
"""37_091/06",تاريخ التربية في العصور القديمة,"أبيض, ملكة",دمشق,منشورات جامعة دمشق,1992.0,109,تاريخ التربية,24664
"""37_091/07",تاريخ التربية وعلم النفس عند العرب,"أبيض, ملكة",دمشق,مطبوعات جامعة دمشق,1990.0,156,تاريخ التربية,24662
"""323.1/23 ج1",القضية الفلسطينية والصراع العربي الصهيوني. الجزء الأول,إتحاد الجامعات العربية,,مديرية مطبعة الجامعة,1983.0,563,الحركات الوطنية,14787
"""323.1/23 ج1 مكرر",القضية الفلسطينية والصراع العربي الصهيوني,إتحاد الجامعات العربية,الموصل,مديرية دار الكتب للطباعة والنشر,1983.0,563,الحركات الوطنية,15255
"""378/20","الدراسات القنونية: الندوة الأولى لعمداء كليات الحقوق بالجامعات العربية. جامعة بيروت العربية, أبريل 1973",إتحاد الجامعات العربية,بيروت,جامعة بيروت العربية,1973.0,402,التعليم العالي,23160
"""378/27",دور التعليم الجامعي والعلي في التنمية الشاملة: بحوت مختارة من المؤتمر العام الخامس لإتحاد الجامعات العربية,إتحاد الجامعات العربية,عمان,إتحاد الجامعات العربية,1990.0,272,التعليم العالي: التعليم التنموي,22596
"""620.9/03",أبحات ندوة الطاقة المتجددة جامعة حلب 29 أيلول- 2 تشرين الأول 1986,إتحاد الجامعات العربية,حلب,جامعة حلب,1986.0,841,الطاقة,19851
"""378/29",ندوة القبول في التعليم العالي: بحوت مختارة,إتحاد الجامعات العربية - إتحاد الجامعات الدول - الجامعة الأردنية,عمان,الجامعة الأردنية,1988.0,218,التعليم العالي,23120
"""378/28",ندوة طرائق التدريس في الجامعات العربية (بحوت مختارة),إتحاد الجامعات العربية - الجامعة المستنصرية - مكتب اليونسكو الإقليمي,عمان,إتحاد الجامعات العربية,1988.0,252,التعليم العالي: مناهج وطرق التدريس,23121
"""378/26",ندوة تحديث الإدارة الجامعية: بحوت مختارة الواقائع والتوصيات,إتحاد الجامعات العربية - منظمة اليونسكو - جامعة اليرموك,عمان,إتحاد الجامعات العربية,1989.0,472,التعليم العالي: الإدارة الجامعية,23122
"""378/14",الدراسات التربوية: الندوة الأولى لعمداء كليات التربية والمعلمين بالجامعات العربية نونبر 1974,إتحاد الجامعات العربية .الأمانة العامة,,الجامعة المستنصرية,1974.0,469,التعليم العالي,23155
"""378/25","وقائع وتوصيات ندوة ""طرائق التدريس في الجامعات العربية"" التي عقدة في رحاب الجامعة المستنصرية بالجمهورية العراقية في 20 - 22/12/1988",إتحاد الجامعات العربية الأمانة العامة,عمان,إتحاد الجامعات العربية,1988.0,34,التعليم الجامعي,19833
"""378/25 مكرر",وقائع وتوصيات ندوة طرائق التدريس في الجامعات العربية التي عقدت في رحاب الحامعة المستنصرية بالجمهورية العراقية في 20 - 22/12/1988,إتحاد الجامعات العربية الأمانة العامة,عمان,إتحاد الجامعات العربية,1988.0,34,التعليم الجامعي,19832
"""62/03",الدراسات الهندسية: الندوة الثانية لعمداء كليات الهندسة بالجامعات العربية جامعة الموصل آذار 1976,إتحاد الجامعات العربية. الأمانة العامة,,جامعة الموصل,1976.0,99,الهندسة,23156
"""63/31","الإرشاد الزراعي: الندوة الثالتة لعمداء كليات الزراعية بالجامعات العربية جامعة طرابلس 21-27 أبريل 1974, الأمانة العامة",إتحاد الجامعات العربية. الأمانة العامة,,جامعة طرابلس,1974.0,252,الزراعة,23157
"""63/32",الدراسات الزراعية: الندوة الرابعة لعمداء كليات الزراعة بالجامعات العربيةجامعة الخرطوم ديسمبر 1976,إتحاد الجامعات العربية. الأمانة العامة,,جامعة الخرطوم,1976.0,222,الزراعة,23159
"""57/05 مكرر",المؤتمر العلمي الثاني لعلوم الحياة,إتحاد الحياتين العرب,فاس,كلية العلوم,1982.0,356,ندوات,13741
"""061.3/28 مكرر",المؤتمر العلمي العربي الثاني لعلوم الحياة كلية العلوم فاس 17 - 20 مارس 1982,إتحاد الحياتيين العرب,فاس,كلية العلوم,1982.0,356,العلوم البيولوجية,13741
"""57/05",المؤتمر العلمي العربي الثاني لعلوم الحياة كلية العلوم فاس 17 - 20 مارس 1982,إتحاد الحياتيين العرب,فاس,كلية العلوم,1982.0,356,العلوم البيولوجية,13742
"""336.6/05",العمليات المصرفية الدولية,إتحاد المصارف العربية,باريس,إتحاد المصارف العربية والفرنسية,1978.0,217,تمويل المؤسسات الإقتصادية,12550
"""336.6/08",الوحدات المصرفية الخارجية بالدول العربية,إتحاد المصاريف العربية,,إتحاد المصاريف العربية,,61,تمويل المؤسسات الاقتصادية,12549
"""336.6/14",برنامج التسويق المصرفي,إتحاد المصاريف العربية,بيروت,إتحاد المصاريف العربية دار النفائس,1977.0,263,تمويل المؤسسات الاقتصادية,12643
"""631/13",وقائع ندوة تكامل انتاج حبوب الخبز في الوطن العربي,إتحاد مجالس البحث العلمي العربية,بغداد,اتحاد مجالس البحث العلمي العربية,1983.0,199,الهندسة الزراعية,12460
"""66/07",دور أجهزة البحث العلمي العربية في عمليةالتنمية القومية: وقائع الندوة المنعقدة في عمان للمدة 5-7-2-1979,إتحاد مجالس البحث العلمي العربية,بغداد,إتحاد مجالس البحث العلمي العربية,1981.0,139,البحث العلمي,12494
"""167/12",براءات الأختراع في نشاطات البحث العلمي,"إتحاد مجالس البحث العلمي العربية, الأمانة العامة",بغداد,إتحاد مجالس البحث العلمي العربية,1983.0,109,البحث العلمي,12578
"""378/21",دراسات العلوم الأساسية: الندوة الأولى لعمداء كليات العلوم بالجامعات العربية جامعة القاهرة فبراير 1972,إتحادالجامعات العربية. الأمانة العامة,القاهرة,إتحاد الجامعات العربية,1972.0,416,التعليم العالي,23158
